Job Title,Company,Location,Link,num_applicants,description,seniority_level,employment_type,job_function,industries,skills,salaries
Full-Stack Software Engineer (New grad...,Wanderlog,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-new-grad-at-wanderlog-4216840881?position=1&pageNum=0&refId=5RJehu8qj4VMTpFXC3kAlQ%3D%3D&trackingId=4cJqg6VgrDozRwloZYrEXw%3D%3D,Over 200 applicants,"This is a remote position.
Warning : if you're outside of the Americas timezone, unfortunately, we're only hiring for engineers with at least some timezone overlap.

Wanderlog helps make leisure travel easier. We believe that travel makes the world better, and are building tools that lower the bar to it. Our core product, built starting 2019, is a travel planning app (we're the top-ranked trip planner on iOS and Android), but we're also helping travelers book hotels (without hidden fees), providing them with information (through various pages on e.g., best attractions, restaurants, etc.), and more.

Our founders are twin brothers. Peter worked as an engineer at Stripe and a consultant at McKinsey, and Harry as a product manager at Google. We're an engineering and product-driven team: the founders studied computer science at Yale, and have built successful, bootstrapped travel companies (BookWithMatrix and All the Flight Deals) with products people love before starting Wanderlog.

We now serve millions of travelers a month, and are a team of 8, including 7 engineers hailing from MIT, the University of Toronto, UC Berkeley, and more; and 1 designer. We're a self-sustaining, default-alive startup.

We also love traveling. Whether it's a short hop to Austin, Seattle, or New Orleans; or a longer jaunt to Australia, Hawaii, or Banff National Park (all places the team's traveled to in the past year!), travel broadens our horizons, builds empathy, and challenges us to grow. We're working to bring these experiences to more of the world.



As an engineer, you'll be responsible for owning portions of the product. You'll be expected to:







This position is a full-time role reporting to the co-founders at Wanderlog.
















We're an engineering and product-heavy team. Travel's something everyone does, and we love using the tools we build. A typical week's work involves talking to users, prioritizing tasks in Sheets, designing on Figma, and building and shipping them continuously.

Our values include putting travelers first, owning the product end-to-end, treating teammates with respect, and moving fast by being smart about what we build and how we build it.

We believe in work fitting in with your life. We love travel and believe it rejuvenates us and makes us better people, and have twice annual travel offsites where the goal is to enjoy visiting a new place and collaborate more closely with the team in person.



We'll first have you do an asynchronous programming challenge. If all goes well, we'll have a coding interview where you work on a quick program on your laptop in your preferred language. We'll then do another coding interview and a full-day virtual onsite.



Peter Xu and Harry Yu are twin brothers. Peter shuttled between Los Angeles, Houston, New York, Tokyo, and Hong Kong as a consultant at McKinsey before settling down at Stripe as a full-stack engineer, where he worked closely with support teams to build tools that made support agents' work more productive.

Harry worked at Google as a product manager on Hotel Search, Chrome, and finally Google Assistant for the past three, where he was one of the early PMs on the team.

Before building Wanderlog, they had built Coursetable (featured in the New York Times ) and travel sites All the Flight Deals (a flight deals aggregator) and BookWithMatrix (a power-traveler flight search tool) . The founders are now glad to have been working on Wanderlog for 6 years, and are excited to make travelers' lives easier!",not found,not found,not found,not found,not found,not found
"Software Engineer, Full Stack",Rad AI,United States,https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-rad-ai-4219343749?position=42&pageNum=0&refId=5RJehu8qj4VMTpFXC3kAlQ%3D%3D&trackingId=ZvnPCS7VCtqF4LofrvklYw%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
Software Engineer - Front End,AddEvent,United States,https://www.linkedin.com/jobs/view/software-engineer-front-end-at-addevent-4216803696?position=6&pageNum=15&refId=lB5wxNc3yw1lu8mWMYTZbA%3D%3D&trackingId=4yZCsbrO%2BSQXxiE2YK8kng%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
"C++ Software Engineer, Early in Career (Boulder, CO or Raleigh, NC ONLY)",SPLUNK SERVICES UK LIMITED,"Indiana, United States",https://www.linkedin.com/jobs/view/c%2B%2B-software-engineer-early-in-career-boulder-co-or-raleigh-nc-only-at-splunk-services-uk-limited-4215893496?position=3&pageNum=17&refId=dnjICtuTNl2QlcfjyLbaPA%3D%3D&trackingId=2oX79%2B8SGXgaSppDS9EYsA%3D%3D,100 applicants,"Splunk is here to build a safer and more resilient digital world. The world's leading enterprises use our unified security and observability platform to keep their digital systems secure and reliable. While customers love our technology, it's our people that make Splunk stand out as an amazing career destination and why we've won so many awards as a best place to work. If you become a Splunker, we want your whole, authentic self, what we call your ""million data points"". So bring your work experience, problem-solving skills and talent, of course, but also bring your joy, your passion and all the things that make you, you.



Role Summary

You will experience Splunking and what defines our culture while honing the skills which separate our development teams from others. Working to support internal and external customer needs, you will collaborate with multi-functional teams and gain insight into our values-driven process. You will work on complex problems, potentially expanding beyond your team's codebase.

What you'll get to do









We’ve taken special care to separate the must-have qualifications from the nice-to-haves. “Nice-to-have” means just that: Nice. To. Have. So, don’t worry if you can’t check off every box. We’re not hiring a list of bullet points–we’re interested in the whole you.





Splunk, a Cisco company, is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.





SF Bay Area, Seattle Metro, and New York City Metro Area

Base Pay Range: $119,200.00 - 163,900.00 per year

California (excludes SF Bay Area), Washington (excludes Seattle Metro), Washington DC Metro, and Massachusetts

Base Pay Range: $107,280.00 - 147,510.00 per year

All other cities and states excluding California, Washington, Massachusetts, New York City Metro Area and Washington DC Metro Area.

Base Pay Range: $95,360.00 - 131,120.00 per year

Splunk provides flexibility and choice in the working arrangement for most roles, including remote and/or in-office roles. We have a market-based pay structure which varies by location. Please note that the base pay range is a guideline and for candidates who receive an offer, the base pay will vary based on factors such as work location as set out above, as well as the knowledge, skills and experience of the candidate.

Benefits are an important part of Splunk's Total Rewards package. This role is eligible for a competitive benefits package which includes medical, dental, vision, a 401(k) plan and match, paid time off and much more! Learn more about our next-level benefits at https://splunkbenefits.com.",not found,not found,not found,not found,not found,not found
Software Engineer I,OppFi,United States,https://www.linkedin.com/jobs/view/software-engineer-i-at-oppfi-4219931122?position=9&pageNum=20&refId=BVKN7hXH%2BjvgewrYFGi8Bg%3D%3D&trackingId=XjcTm8usRVWTaFUaMgxq%2Fw%3D%3D,Over 200 applicants,"OppFi is a tech-enabled, mission-driven specialty finance platform that broadens the reach of community banks to extend credit access to everyday Americans. Through best-in-class customer service, transparency, responsible lending, and financial inclusion, we support consumers, who are turned away by mainstream options, to build better financial health.

We are a team of caring, innovative, and inclusive individuals who thrive in being immersed in diverse talents, expertise, perspectives, and backgrounds. Our employees approach every new challenge with an unparalleled ability to see what could be rather than settle for what is. Our business principles guide us and create an open and collaborative culture where we improve 1% every day, and the best ideas always win! We welcome individuals who want to make an impact in the financial system by facilitating credit access, expanding financial inclusion, promoting financial health, and delivering exceptional customer service.

A few other fun facts about us. OppFi is one of the top consumer-rated financial platforms online, maintaining a 4.5/5.0-star rating on Trustpilot. We are a 2023 Crain’s Fast 50™ company and were named on Built In's 2024 Best Places to Work in Chicago.



As a Software Engineer I, you will help develop our applications and services for our product portfolio. Specifically, you will enhance, improve, develop, and maintain back-end services used across our entire technology platform.

















At OppFi, we are committed to fostering a fair and equitable workplace. The compensation range for this role reflects our good faith compensation estimate for this position. Final offers are determined based on a myriad of factors including, but not limited to experience, skills, qualifications, and other relevant business considerations. Candidates are encouraged to discuss compensation expectations during the hiring process. In addition to base pay, the total compensation package includes eligibility and potential for performance-based bonuses and equity grants dependent upon the role and job level.

OppFi offers a flexible, remote environment, 401(k) matching program, and generous paid time off. Other benefits include medical, dental, and vision coverage, and tuition reimbursement. Additional benefits include DoorDash DashPass, Figo pet insurance, Rocket Lawyer, and access to LinkedIn Learning. OppFi also offers Fringe, a lifestyle benefits platform that allows employees to decide how to spend rewards from dozens of vendors like Uber, DoorDash, and UrbanSitter.



$85,600 - $128,400 USD



OppFi is an equal opportunity employer and does not discriminate based on any actual or perceived legally recognized protected bases under local, state, federal law, or regulations. Our goal as a company is to build an equitable workplace that actively works to dismantle systems of oppression in our processes, procedures, and interactions. We aim to help our employees thrive where they work and beyond. Check out our Culture page here.

As part of OppFi’s commitment to providing equal opportunity to qualified individuals, OppFi will ensure that persons with disabilities are provided reasonable accommodation as defined by applicable laws and organizational policies. If reasonable accommodation is needed to participate in the job application or interview processes or job requirements, please contact our People Team at recruiting@oppfi.com.

Pursuant to the requirements of the California Consumer Privacy Act, OppFi is providing the ""OppFi California Employee Privacy Policy"", which details the categories of personal information collected and your rights under the policy. If you are a California resident, please review the policy here: https://www.oppfi.com/careers/.

The information in this document is for general informational purposes only. It is not intended to be an all-inclusive list or description of the organization and its requirements for positions and employees. OppFi reserves the right to modify or change the information on this document at its discretion.",not found,not found,not found,not found,not found,not found
Full-Stack Software Engineer (2+ years experience: United States),Wanderlog,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-2%2B-years-experience-united-states-at-wanderlog-4216873482?position=10&pageNum=20&refId=BVKN7hXH%2BjvgewrYFGi8Bg%3D%3D&trackingId=mWIjhkzDYalB96NAT1UK3g%3D%3D,129 applicants,"This is a remote position.
Warning: if you’re outside of the Americas timezones, unfortunately, we’re only hiring for engineers with at least some timezone overlap.



We also love traveling. Whether it’s a short hop to Austin, Seattle, or New Orleans; or a longer jaunt to Australia, Hawaii, or Banff National Park (all places the team’s traveled to in the past year!), travel broadens our horizons, builds empathy, and challenges us to grow. We’re working to bring these experiences to more of the world.
What you’ll do:








This position is a full-time role reporting to the cof-ounders at Wanderlog.
What you might work on:






You may be a good fit if you:






What’s it like to work here?


We believe in work fitting in with your life. We love travel and believe it rejuvenates us and makes us better people, and have twice annual travel offsites where the goal is to enjoy visiting a new place and collaborate more closely with the team in person.
Our hiring process
We’ll first have you do an asynchronous programming challenge. If all goes well, we’ll have a coding interview where you work on a quick program on your laptop in your preferred language. We’ll then do another coding interview and a full-day virtual onsite.
Founders",not found,not found,not found,not found,not found,not found
Full Stack Software Engineer 4 - Game Lifecycle Engineering,Netflix,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-4-game-lifecycle-engineering-at-netflix-4190181205?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=flApY%2BAVaamYtbREjqo%2FTA%3D%3D,125 applicants,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

As a full stack engineer on our Game Lifecycle team, you’ll work closely with amazing colleagues to create solutions that make it easy to get games onto the Netflix platform. You’ll get to help scale gaming at Netflix and be part of supporting game developers as they create games that bring joy to millions. Our users and stakeholders are many and varied, and every day is different - you’ll work with different cross-functional partners to solve large problems and help define the future of the Netflix game developer platform.

Our ideal candidate is a true full-stack engineer who is interested in every part of a feature - from a glimmer of an idea, to a released solution that needs to be supported long-term. The day-to-day work for this role is generally more heavy on the frontend, but we also value strong backend skills and owning features end-to-end. You’ll succeed in this role by drawing from your web development skills, strong product mindset, and experience working on and maintaining live services or games.





Nice to have



Who you are



Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $170,000 - $720,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled.",not found,not found,not found,not found,not found,not found
Full-Stack Software Engineer (New grad...,Wanderlog,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-new-grad-at-wanderlog-4216840881?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=iz3%2FbNX%2FV2XSmDAOc9MYCw%3D%3D,Over 200 applicants,"This is a remote position.
Warning : if you're outside of the Americas timezone, unfortunately, we're only hiring for engineers with at least some timezone overlap.

Wanderlog helps make leisure travel easier. We believe that travel makes the world better, and are building tools that lower the bar to it. Our core product, built starting 2019, is a travel planning app (we're the top-ranked trip planner on iOS and Android), but we're also helping travelers book hotels (without hidden fees), providing them with information (through various pages on e.g., best attractions, restaurants, etc.), and more.

Our founders are twin brothers. Peter worked as an engineer at Stripe and a consultant at McKinsey, and Harry as a product manager at Google. We're an engineering and product-driven team: the founders studied computer science at Yale, and have built successful, bootstrapped travel companies (BookWithMatrix and All the Flight Deals) with products people love before starting Wanderlog.

We now serve millions of travelers a month, and are a team of 8, including 7 engineers hailing from MIT, the University of Toronto, UC Berkeley, and more; and 1 designer. We're a self-sustaining, default-alive startup.

We also love traveling. Whether it's a short hop to Austin, Seattle, or New Orleans; or a longer jaunt to Australia, Hawaii, or Banff National Park (all places the team's traveled to in the past year!), travel broadens our horizons, builds empathy, and challenges us to grow. We're working to bring these experiences to more of the world.



As an engineer, you'll be responsible for owning portions of the product. You'll be expected to:







This position is a full-time role reporting to the co-founders at Wanderlog.
















We're an engineering and product-heavy team. Travel's something everyone does, and we love using the tools we build. A typical week's work involves talking to users, prioritizing tasks in Sheets, designing on Figma, and building and shipping them continuously.

Our values include putting travelers first, owning the product end-to-end, treating teammates with respect, and moving fast by being smart about what we build and how we build it.

We believe in work fitting in with your life. We love travel and believe it rejuvenates us and makes us better people, and have twice annual travel offsites where the goal is to enjoy visiting a new place and collaborate more closely with the team in person.



We'll first have you do an asynchronous programming challenge. If all goes well, we'll have a coding interview where you work on a quick program on your laptop in your preferred language. We'll then do another coding interview and a full-day virtual onsite.



Peter Xu and Harry Yu are twin brothers. Peter shuttled between Los Angeles, Houston, New York, Tokyo, and Hong Kong as a consultant at McKinsey before settling down at Stripe as a full-stack engineer, where he worked closely with support teams to build tools that made support agents' work more productive.

Harry worked at Google as a product manager on Hotel Search, Chrome, and finally Google Assistant for the past three, where he was one of the early PMs on the team.

Before building Wanderlog, they had built Coursetable (featured in the New York Times ) and travel sites All the Flight Deals (a flight deals aggregator) and BookWithMatrix (a power-traveler flight search tool) . The founders are now glad to have been working on Wanderlog for 6 years, and are excited to make travelers' lives easier!",not found,not found,not found,not found,not found,not found
Full-Stack Software Engineer (L4) - Workforce Security Controls Automation Team (WCAT),Netflix,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-l4-workforce-security-controls-automation-team-wcat-at-netflix-4179982118?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=%2Fy8Zo07iW6uM%2FwvlhbjmjA%3D%3D,90 applicants,not found,not found,not found,not found,not found,not found,not found
"Software Engineer, Full Stack",Rad AI,United States,https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-rad-ai-4219343749?refId=BkUELQQ27XF%2B2S554ok2Lw%3D%3D&trackingId=Aby%2FRJZptCBVSBNrtGdQKA%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
